web-scraper-order,web-scraper-start-url,Name,Address
"1553474434-332","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 52 Ngô Thì Nhậm","52 Ngô Thì Nhậm, Phường Hòa Khánh Nam, Quận Liên Chiểu, Thành Phố Đà Nẵng"
"1553474434-977","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 31 Mạc Thị Bưởi","Số 31 phố Mạc Thị Bưởi, phường Vĩnh Tuy, quận Hai Bà Trưng, Hà Nội"
"1553474434-736","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HCM 1323 Nguyễn Duy Trinh","1323 Nguyễn Duy Trinh, KP.Phước Lai, Long Trường, Quận 9, Thành Phố Hồ Chí Minh."
"1553474434-217","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ CC Lô 3-4 Cụm I, KDC Trung Sơn","Tầng 1 (trệt), Chung cư Lô 3-4, Cụm I, KDC Trung Sơn, Khu chức năng 6A- ĐTM Nam TP. HCM, xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh"
"1553474434-230","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 04 Hoàng Thiều Hoa","04 Hoàng Thiều Hoa, Phường Hiệp Tân, Quận Tân Phú, Thành phố Hồ Chí Minh"
"1553474434-919","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 24 ngõ 1 Đỗ Nhuận","Số 24 Ngõ 1 Đường Đỗ Nhuận, phường Xuân Đỉnh, quận Bắc Từ Liêm, Hà Nội"
"1553474434-28","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI TT4&TT5 Tăng Thiết Giáp","Số TT4&TT5- Khu nhà ở XH và TM, BTL Tăng thiết giáp, Phường Mỹ Đình 1, Quận Nam Từ Liêm, thành phố Hà Nội."
"1553474434-613","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 27 Bùi Văn Ba","27 Bùi Văn Ba, Phường Tân Thuận Đông, quận 7, Thành Phố Hồ chí Minh"
"1553474434-162","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 44 Nguyễn Du, Việt Trì","Số 44 Nguyễn Du, phường Nông Trang, TP Việt Trì, tỉnh Phú Thọ"
"1553474434-416","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 37 Đường 385 - Tăng Nhơn Phú A","37 đường 385, phường Tăng Nhơn Phú A, Quận 9,Thành phố Hồ chí Minh"
